"		192",柳林,2016-08-12,66.3,40
"		192",柳林,2016-08-13,64.4,40
"		192",柳林,2016-08-14,64.6,34
"		192",柳林,2016-08-15,76.6,45
"		192",柳林,2016-08-16,76,45
"		192",柳林,2016-08-17,78.3,44
"		192",柳林,2016-08-18,71.6,42
"		192",柳林,2016-08-19,68.9,38
"		192",柳林,2016-08-20,65,32
"		192",柳林,2016-08-21,63,35
"		192",柳林,2016-08-22,65.3,33
"		192",柳林,2016-08-23,73,51
"		192",柳林,2016-08-24,59,24
"		192",柳林,2016-08-25,69,41
"		192",柳林,2016-08-26,80.6,52
"		192",柳林,2016-08-27,57.4,34
"		192",柳林,2016-08-28,82.9,51
"		192",柳林,2016-08-29,61.1,30
"		192",柳林,2016-08-30,55.1,39
"		192",柳林,2016-08-31,43.6,22
"		192",柳林,2016-09-01,64.3,41
"		192",柳林,2016-09-02,89.8,76
"		192",柳林,2016-09-03,88.4,74
"		192",柳林,2016-09-04,86,58
"		192",柳林,2016-09-05,82.9,60
"		192",柳林,2016-09-06,81.4,62
"		192",柳林,2016-09-07,79.5,61
"		192",柳林,2016-09-08,68.1,39
"		192",柳林,2016-09-09,74,40
"		192",柳林,2016-09-10,78.4,55
"		192",柳林,2016-09-11,79.6,53
"		192",柳林,2016-09-12,84.9,60
"		192",柳林,2016-09-13,74.6,45
"		192",柳林,2016-09-14,77.3,46
"		192",柳林,2016-09-15,73.9,37
"		192",柳林,2016-09-16,86.1,77
"		192",柳林,2016-09-17,90,86
"		192",柳林,2016-09-18,85.1,78
"		192",柳林,2016-09-19,62.5,44
"		192",柳林,2016-09-20,57,35
"		192",柳林,2016-09-21,68.4,41
"		192",柳林,2016-09-22,75,52
"		192",柳林,2016-09-23,74.1,34
"		192",柳林,2016-09-24,73.3,32
"		192",柳林,2016-09-25,75.8,42
"		192",柳林,2016-09-26,82.4,58
"		192",柳林,2016-09-27,82,60
"		192",柳林,2016-09-28,90,79
"		192",柳林,2016-09-29,86.4,79
"		192",柳林,2016-09-30,88.5,82
"		192",柳林,2016-10-01,86.6,71
"		192",柳林,2016-10-02,86.4,67
"		192",柳林,2016-10-03,83.6,64
"		192",柳林,2016-10-04,72.1,46
"		192",柳林,2016-10-05,81.4,51
"		192",柳林,2016-10-06,68.5,22
"		192",柳林,2016-10-07,79.9,52
"		192",柳林,2016-10-08,85.6,51
"		192",柳林,2016-10-09,52.8,16
"		192",柳林,2016-10-10,69.9,39
"		192",柳林,2016-10-11,78.4,48
"		192",柳林,2016-10-12,69.9,30
"		192",柳林,2016-10-13,79.1,58
"		192",柳林,2016-10-14,72.1,27
"		192",柳林,2016-10-15,75.9,36
"		192",柳林,2016-10-16,90.8,87
"		192",柳林,2016-10-17,84.3,55
"		192",柳林,2016-10-18,78.6,54
"		192",柳林,2016-10-19,79.6,47
"		192",柳林,2016-10-20,78.1,48
"		192",柳林,2016-10-21,70.3,57
"		192",柳林,2016-10-22,72.3,51
"		192",柳林,2016-10-23,64.6,51
"		192",柳林,2016-10-24,63.4,42
"		192",柳林,2016-10-25,82.6,64
"		192",柳林,2016-10-26,77.6,53
"		192",柳林,2016-10-27,70.6,56
"		192",柳林,2016-10-28,81.4,57
"		192",柳林,2016-10-29,68.3,49
"		192",柳林,2016-10-30,64.8,22
"		192",柳林,2016-10-31,80.9,57
"		192",柳林,2016-11-01,50.9,16
"		192",柳林,2016-11-02,56.3,22
"		192",柳林,2016-11-03,73.1,35
"		192",柳林,2016-11-04,69,29
"		192",柳林,2016-11-05,77.9,39
"		192",柳林,2016-11-06,75.6,54
"		192",柳林,2016-11-07,71.9,44
"		192",柳林,2016-11-08,54.8,24
"		192",柳林,2016-11-09,46.9,25
"		192",柳林,2016-11-10,64.3,43
"		192",柳林,2016-11-11,69.5,28
"		192",柳林,2016-11-12,72.1,38
"		192",柳林,2016-11-13,80.6,63
"		192",柳林,2016-11-14,90.4,86
"		192",柳林,2016-11-15,56,12
"		192",柳林,2016-11-16,61,20
"		192",柳林,2016-11-17,61.9,30
"		192",柳林,2016-11-18,81.6,50
"		192",柳林,2016-11-19,89,71
"		192",柳林,2016-11-20,79.8,35
"		192",柳林,2016-11-21,82.6,59
"		192",柳林,2016-11-22,58.4,27
"		192",柳林,2016-11-23,32.9,23
"		192",柳林,2016-11-24,33.5,17
"		192",柳林,2016-11-25,50.3,29
"		192",柳林,2016-11-26,75.5,45
"		192",柳林,2016-11-27,73.4,42
